country,2019,2020,2021
Afghanistan,36.8,,36.6
Albania,54.4,,63.9
UAE,26.3,,28
Argentina,74.1,,70.7
Armenia,37.1,,39.1
Australia,53.3,,53.5
Austria,63.2,,63.5
Azerbaijan,32.7,,
Belgium,56.6,,42.9
Benin,44,,52.6
Burkina Faso,56.7,,50.4
Bangladesh,26.4,,43.4
Bulgaria,45.2,,46.7
Bahrain,29.7,,
Bosnia and Herzegovina,53.7,,57.7
Belarus,43.3,,
Bolivia,69.7,,73.7
Brazil,71.4,,77.3
Botswana,52.5,,
Canada,57.3,,62.2
Switzerland,51.1,,57.8
Chile,86.9,,86.3
China,22.4,,22.6
Cote d'Ivoire,46.8,,52.5
Cameroon,43.4,,44.2
"Congo, Rep.",46.4,,41.6
Colombia,74.9,,69.4
Costa Rica,80.9,,74
Cyprus,78.4,,75.7
Czech Republic,,,48.5
Germany,52.8,,61.8
Denmark,40.4,,35.2
Dominican Republic,57,,48.6
Algeria,27.9,,35.1
Ecuador,73.8,,64.9
Egypt,17.9,,15.3
Spain,84.1,,80
Estonia,34.5,,30
Ethiopia,18.4,,
Finland,25,,34.8
France,59.7,,59.8
Gabon,52.4,,41.9
UK,68.6,,70.3
Georgia,58.3,,64.4
Ghana,43.1,,43.5
Guinea,51.4,,51.3
Gambia,50,,
Greece,81.3,,81.1
Guatemala,61.6,,
"Hong Kong, China",32.6,,23.9
Honduras,65.3,,55.9
Croatia,52.2,,70
Hungary,67.1,,64.1
Indonesia,34,,33.1
India,34.1,,40.1
Ireland,63.8,,64.7
Iran,40.2,,44.3
Iraq,28,,38.7
Iceland,,,38.2
Israel,38.3,,33
Italy,70.4,,68.5
Jamaica,54.3,,46.7
Jordan,25.4,,20.1
Japan,60.2,,58.2
Kazakhstan,38.1,,30.3
Kenya,59.5,,55.9
Kyrgyz Republic,46.3,,44.3
Cambodia,24.2,,28.5
South Korea,54.4,,63.1
Kuwait,34.4,,
Lao,25.8,,24.4
Lebanon,34.2,,25.4
Liberia,54.4,,
Libya,26.2,,
Sri Lanka,39.2,,47.7
Lesotho,78.2,,
Lithuania,28,,30.6
Luxembourg,53,,
Latvia,43.1,,34.2
Morocco,45.4,,40.6
Moldova,47.1,,44.8
Madagascar,43.3,,
Mexico,69.3,,69.3
North Macedonia,60.2,,63.6
Mali,53.5,,54.1
Malta,62.4,,61.9
Myanmar,20.4,,21.6
Montenegro,43.4,,
Mongolia,35.4,,30
Mozambique,43.4,,42.4
Mauritania,40.7,,
Mauritius,54.8,,48
Malawi,75.8,,
Malaysia,40.8,,51.2
Namibia,66.9,,47.2
Niger,36.8,,
Nigeria,45.9,,37
Nicaragua,56.9,,55.8
Netherlands,35.8,,47.2
Norway,40,,49.1
Nepal,34,,42.4
New Zealand,46,,44.4
Pakistan,34.3,,30.5
Panama,68.1,,61.6
Peru,73.8,,62.6
Philippines,57.8,,69.5
Poland,52.4,,69.2
Portugal,85.4,,78.5
Paraguay,70.8,,50.2
Palestine,28.9,,
Romania,75.5,,78.2
Russia,40.4,,36.5
Rwanda,52.6,,
Saudi Arabia,20.7,,8.5
Senegal,45.4,,47.7
Singapore,70.2,,51.6
Sierra Leone,48.4,,63.8
El Salvador,63.5,,58.1
Serbia,53.5,,63.5
Slovak Republic,44.6,,65.4
Slovenia,50.9,,58.5
Sweden,40.7,,49.8
Eswatini,70,,
Chad,46.7,,
Togo,44.2,,53.3
Thailand,36.5,,43.3
Tajikistan,52.8,,37.2
Turkmenistan,34.3,,
Tunisia,33.9,,34.1
Turkey,52.2,,67.7
Taiwan,62.3,,56.7
Tanzania,41.2,,36.4
Uganda,56.1,,57.3
Ukraine,53.8,,55.3
Uruguay,74.5,,61.3
USA,46.3,,50.4
Uzbekistan,22.7,,25.6
Venezuela,62.7,,60.7
Vietnam,63.2,,66.9
Yemen,15.1,,
South Africa,59.6,,47.7
Zambia,66.7,,51.7
Zimbabwe,61.6,,50.1
